symbol,name,opt-in,opt-out
SZ000682,东方电子,2005-04-08,2008-06-14
SZ000685,中山公用,2009-07-01,2012-01-01
SZ000686,东北证券,2008-06-14,2018-06-11
SZ000690,宝新能源,2007-07-02,2008-01-01
SZ000690,宝新能源,2008-12-25,2012-01-01
SZ000698,沈阳化工,2005-04-08,2007-07-02
SZ000703,恒逸石化,2012-07-02,2014-06-16
SZ000703,恒逸石化,2018-12-17,2022-12-09
SZ000707,双环科技,2006-01-01,2007-01-01
SZ000708,中信特钢,2005-04-08,2008-06-14
SZ000708,中信特钢,2020-06-15,
SZ000709,河钢股份,2005-04-08,2020-12-14
SZ000712,锦龙股份,2015-06-15,2017-06-12
SZ000717,韶钢松山,2005-04-08,2011-01-01
SZ000718,苏宁环球,2008-01-01,2014-12-15
SZ000718,苏宁环球,2016-12-12,2017-12-11
SZ000723,美锦能源,2017-12-11,2018-12-17
SZ000723,美锦能源,2019-12-16,2021-06-11
SZ000723,美锦能源,2022-12-09,2023-12-08
SZ000725,京东方Ａ,2005-04-08,2007-07-02
SZ000725,京东方Ａ,2008-12-25,2010-01-01
SZ000725,京东方Ａ,2010-07-01,2012-01-01
SZ000725,京东方Ａ,2012-07-02,
SZ000726,鲁泰Ａ,2005-04-08,2007-01-01
SZ000727,G华电,2005-04-08,2006-06-22
SZ000728,国元证券,2008-06-14,2021-12-10
SZ000729,燕京啤酒,2005-04-08,2016-12-12
SZ000733,振华科技,2005-04-08,2007-01-01
SZ000733,振华科技,2022-12-09,2024-12-13
SZ000735,G罗牛山,2005-04-08,2006-06-22
SZ000737,G南风,2005-04-08,2006-06-22
SZ000738,航发控制,2015-05-24,2018-06-11
SZ000750,国海证券,2013-01-01,2018-06-11
SZ000751,锌业股份,2007-01-01,2008-12-25
SZ000755,山西三维,2008-06-14,2009-07-01
SZ000758,中色股份,2005-04-08,2014-12-15
SZ000761,本钢板材,2006-06-22,2007-07-02
SZ000761,本钢板材,2008-01-01,2008-12-25
SZ000763,锦州石化,2005-04-08,2006-01-01
SZ000767,漳泽电力,2005-04-08,2009-07-01
SZ000768,西飞国际,2006-01-01,
SZ000776,广发证券,2011-01-01,
SZ000778,新兴铸管,2005-04-08,2017-06-12
SZ000780,平庄能源,2005-04-08,2013-12-16
SZ000783,长江证券,2008-06-14,2022-06-10
SZ000786,北新建材,2005-04-08,2008-06-14
SZ000786,北新建材,2018-06-11,
SZ000792,盐湖股份,2005-04-08,2019-06-17
SZ000792,盐湖股份,2022-06-10,
SZ000793,华闻传媒,2006-04-24,2010-07-01
SZ000793,华闻传媒,2013-12-16,2017-12-11
SZ000800,一汽解放,2005-04-08,2017-06-12
SZ000800,一汽解放,2021-06-11,2025-12-08
SZ000806,银河科技,2005-04-08,2007-01-01
SZ000807,云铝股份,2005-04-08,2013-12-16
SZ000807,云铝股份,2024-06-14,
SZ000817,辽河油田,2005-04-08,2006-01-01
SZ000822,山东海化,2005-04-08,2010-07-01
SZ000823,超声电子,2005-04-08,2006-01-01
SZ000825,太钢不锈,2005-04-08,2013-07-01
SZ000825,太钢不锈,2014-12-15,2016-12-12
SZ000826,启迪桑德,2013-12-16,2019-06-17
SZ000828,东莞控股,2005-04-08,2008-12-25
SZ000829,天音控股,2007-07-02,2009-07-01
SZ000831,*ST五稀,2005-04-08,2006-01-01
SZ000831,*ST五稀,2013-12-16,2016-06-13
SZ000839,中信国安,2005-04-08,2015-12-14
SZ000839,中信国安,2016-06-13,2019-06-17
SZ000858,五粮液,2005-04-08,
SZ000860,顺鑫农业,2020-06-15,2021-12-10
