symbol,name,opt-in,opt-out
GRMN,Garmin,2006-01-01,2015-12-21
HAS,Hasbro,2016-12-19,2019-12-23
HOLX,Hologic,2007-12-24,2010-12-20
HOLX,Hologic,2016-12-19,2018-12-24
HON,Honeywell International Inc.,2021-07-21,
HSIC,Henry Schein,2006-01-01,2019-12-23
IACI,IAC/InterActiveCorp,2006-01-01,2009-12-21
IDXX,"IDEXX Laboratories, Inc.",2017-03-20,
ILMN,Illumina,2008-12-22,2011-12-19
ILMN,Illumina,2013-12-23,2024-12-23
INCY,Incyte,2015-10-07,2021-12-20
INFY,Infosys,2006-01-01,2012-12-12
INSM,Insmed Incorporated,2025-12-22,
INTC,Intel Corporation,2006-01-01,
INTU,Intuit Inc.,2006-01-01,
ISRG,"Intuitive Surgical, Inc.",2006-01-01,
JAVA,Sun Microsystems,2006-01-01,2009-07-17
JBHT,J. B. Hunt,2008-12-22,2010-12-20
JBHT,J.B. Hunt,2017-02-07,2019-12-23
JD,JD.com,2015-07-29,2023-12-18
JNPR,Juniper Networks,2006-01-01,2009-10-29
JOYG,Joy Global,2006-01-01,2011-12-06
KDP,Keurig Dr Pepper Inc.,2020-10-19,
KHC,The Kraft Heinz Company,2015-07-02,
KLAC,KLA-Tencor,2006-01-01,2016-02-16
KLAC,KLA Corporation,2016-12-19,
KRFT,Kraft Foods,2013-03-18,2015-07-02
LAMR,Lamar Advertising Company,2006-01-01,2008-12-22
LBTYA,Liberty Global Class A,2006-01-01,2009-12-21
LBTYA,Liberty Global,2012-12-24,2020-12-21
LBTYK,Liberty Global PLC Class C,2014-12-22,2020-12-21
LCID,Lucid Group,2021-12-20,2023-12-18
LEAP,Leap Wireless International,2007-10-08,2008-12-22
LIFE,Life Technologies,2008-12-22,2013-08-22
LILA,Liberty Latin America Class A,2015-07-02,2015-12-21
LILAK,Liberty Latin America Class C,2015-07-02,2015-12-21
LIN,Linde plc Ordinary Shares,2024-03-18,
LLTC,Linear Technology,2006-01-01,2016-10-19
LMCA,Liberty Media,2012-12-24,2013-01-15
LMCA,Liberty Media,2013-06-05,2016-06-20
LMCK,Liberty Media,2006-01-01,2016-06-20
LOGI,Logitech,2006-01-01,2010-12-20
LRCX,Lam Research,2006-01-01,2012-12-24
LRCX,Lam Research Corporation,2014-12-22,
