symbol,name,opt-in,opt-out
SH600004,白云机场,2023-12-08,
SH600006,东风汽车,2007-01-15,2023-06-09
SH600007,中国国贸,2024-12-13,
SH600008,首创环保,2007-01-15,
SH600021,上海电力,2007-01-15,
SH600022,山东钢铁,2007-01-15,2024-12-13
SH600026,中远海能,2007-01-15,2023-06-09
SH600027,华电国际,2021-06-11,2023-12-08
SH600032,浙江新能,2022-12-09,
SH600037,歌华有线,2007-01-15,2022-12-09
SH600038,中直股份,2007-01-15,
SH600039,四川路桥,2007-01-15,2022-12-09
SH600053,九鼎投资,2007-01-15,2021-06-11
SH600056,中国医药,2007-01-15,2025-12-12
SH600060,海信视像,2007-01-15,
SH600062,华润双鹤,2007-01-15,
SH600064,南京高科,2007-01-15,2023-06-09
SH600066,宇通客车,2021-06-11,2024-12-13
SH600068,葛洲坝,2021-06-11,2021-09-29
SH600073,上海梅林,2007-01-15,2021-06-11
SH600079,人福医药,2007-01-15,2021-06-11
SH600079,ST人福,2022-06-10,2026-01-09
SH600089,特变电工,2009-07-01,2021-12-10
SH600094,大名城,2007-01-15,2021-12-10
SH600095,哈高科,2007-01-15,2009-06-15
SH600095,湘财股份,2021-06-11,
SH600096,云天化,2022-06-10,
SH600098,广州发展,2024-06-14,
SH600109,国金证券,2022-06-10,
SH600115,ST东航,2007-01-15,2009-07-01
SH600118,中国卫星,2021-12-10,
SH600120,浙江东方,2007-01-15,2022-12-09
SH600126,杭钢股份,2007-01-15,
SH600129,太极集团,2023-12-08,2025-06-13
SH600131,国网信通,2007-01-15,
SH600132,重庆啤酒,2007-01-15,2021-06-11
SH600132,重庆啤酒,2024-12-13,
SH600141,兴发集团,2007-01-15,
SH600143,金发科技,2007-01-15,2021-06-11
SH600143,金发科技,2022-06-10,
SH600153,建发股份,2007-01-15,
SH600155,华创云信,2007-01-15,2025-12-12
SH600157,永泰能源,2021-12-10,
SH600158,中体产业,2007-01-15,2022-06-10
SH600160,巨化股份,2007-01-15,2024-06-14
SH600161,天坛生物,2022-12-09,2024-06-14
SH600166,福田汽车,2007-01-15,
SH600167,联美控股,2007-01-15,2024-06-14
