symbol,name,opt-in
SH603444,吉比特,2025-12-12
SH603486,科沃斯,2024-06-14
SH603529,爱玛科技,2023-06-09
SH603565,中谷物流,2025-06-13
SH603568,伟明环保,2007-01-15
SH603589,口子窖,2007-01-15
SH603596,伯特利,2022-12-09
SH603605,珀莱雅,2024-12-13
SH603606,东方电缆,2023-12-08
SH603650,彤程新材,2007-01-15
SH603658,安图生物,2022-06-10
SH603659,璞泰来,2025-06-13
SH603688,石英股份,2022-12-09
SH603699,纽威股份,2025-12-12
SH603707,健友股份,2021-06-11
SH603728,鸣志电器,2024-06-14
SH603737,三棵树,2022-12-09
SH603766,隆鑫通用,2025-12-12
SH603786,科博达,2007-01-15
SH603806,福斯特,2025-12-12
SH603816,顾家家居,2022-12-09
SH603833,欧派家居,2025-12-12
SH603858,步长制药,2007-01-15
SH603885,吉祥航空,2007-01-15
SH603899,晨光股份,2024-12-13
SH603920,世运电路,2025-12-12
SH603927,中科软,2007-01-15
SH603939,益丰药房,2022-06-10
SH603979,金诚信,2024-06-14
SH605358,立昂微,2022-12-09
SH605589,圣泉集团,2025-06-13
SH688002,睿创微纳,2007-01-15
SH688017,绿的谐波,2024-06-14
SH688018,乐鑫科技,2025-12-12
SH688019,安集科技,2025-12-12
SH688027,国盾量子,2025-06-13
SH688037,芯源微,2026-01-09
SH688052,纳芯微,2023-06-09
SH688065,凯赛生物,2024-06-14
SH688099,晶晨股份,2007-01-15
SH688100,威胜信息,2025-06-13
SH688114,华大智造,2023-12-08
SH688120,华海清科,2023-12-08
SH688122,西部超导,2023-12-08
SH688166,博瑞医药,2025-12-12
SH688172,燕东微,2024-06-14
SH688180,君实生物,2023-12-08
SH688183,生益电子,2025-06-13
SH688188,柏楚电子,2021-12-10
SH688192,迪哲医药,2025-12-12
SH688213,思特威,2024-06-14
SH688220,翱捷科技,2023-06-09
SH688234,天岳先进,2023-06-09
SH688235,百济神州,2025-06-13
SH688248,南网科技,2023-06-09
SH688266,泽璟制药,2025-12-12
SH688278,特宝生物,2024-12-13
SH688281,华秦科技,2023-06-09
SH688295,中复神鹰,2023-06-09
